Model	Fraud Detection Accuracy	Fraud Detection Recall	Fraud Detection F1	Late Delivery Accuracy	Late Delivery Recall	Late Delivery F1
LogisticRegression	0.9777863948592954	0.2188235294117647	0.31686541737649065	0.9884777309993352	1.0	0.9896025993501625
GaussianNB	0.8784899180146244	1.0	0.27928371940200425	0.5726789275426546	0.9998484618881649	0.7195724880034899
LinearSVC	0.9776756038112121	0.1976470588235294	0.29422066549912435	0.9884777309993352	1.0	0.9896025993501625
KNeighborsClassifier	0.9738810104143585	0.3211764705882353	0.3666890530557421	0.8035674717482827	0.8085063393443451	0.8186374795417348
LinearDiscriminantAnalysis	0.9788389098160869	0.44	0.4947089947089947	0.9836029248836694	0.9936353993029247	0.9851755396404067
RandomForestClassifier	0.9867604697540439	0.4423529411764706	0.6113821138211382	0.990776645247064	1.0	0.9916597790968518
ExtraTreesClassifier	0.9864280966097939	0.42470588235294116	0.5957095709570958	0.9916629736317305	1.0	0.9924551948865773
XGBClassifier	0.9903611788167516	0.6435294117647059	0.7586685159500693	0.9913029027254597	0.9998484618881649	0.9921307202646484
DecisionTreeClassifier	0.9909151340571681	0.7988235294117647	0.8054567022538552	0.9933525371150012	0.9943425771581553	0.9939409240090886
